subject_id,run_id,w1,w2,ari,n_TRs_compared
01,1,20,30,0.2408252160812275,225
01,1,20,40,0.2140417644584038,215
01,1,30,40,0.8510199311502493,215
01,2,20,30,0.5099812265254465,225
01,2,20,40,0.48065597314420017,215
01,2,30,40,0.4788435134332365,215
02,1,20,30,0.6767976034839526,223
02,1,20,40,0.4664272028095195,211
02,1,30,40,0.45127853803178164,211
03,1,20,30,0.5415407622101628,225
03,1,20,40,0.5185097655373104,215
03,1,30,40,0.6988413629212213,215
03,2,20,30,0.3009470964767641,225
03,2,20,40,0.41874213337321975,215
03,2,30,40,0.3788261830371514,215
GROUP,MEAN,20,30,0.4540183809555107,
GROUP,MEAN,20,40,0.4196753678645308,
GROUP,MEAN,30,40,0.5717619057147281,
