metric_name,density_threshold,mean,std,ci_low,ci_high,coefficient_of_variation,n_resamples,method,notes
modularity,0.1,0.4981075185093851,0.09413014784648856,0.42732111199620837,0.566570701758383,0.18897556119646286,500,bootstrap,
modularity,0.1,0.498107518509385,0.02353253696162217,0.4733841749497189,0.5326507557418542,0.047243890299115784,5,leave_one_run_out,leave_one_run_out
global_efficiency,0.1,0.38394922230205963,0.02235600026626492,0.3679885139986271,0.40114146925110344,0.0582264501858453,500,bootstrap,
global_efficiency,0.1,0.38394922230205963,0.005589000066566225,0.37724452620250876,0.3925047260110865,0.014556612546461312,5,leave_one_run_out,leave_one_run_out
clustering,0.1,0.2520095912038259,0.012455793774082208,0.24442643263342925,0.26349786673406245,0.049425871906628886,500,bootstrap,
clustering,0.1,0.2520095912038259,0.0031139484435205515,0.24659873515493883,0.2545254666979359,0.01235646797665722,5,leave_one_run_out,leave_one_run_out
modularity,0.15,0.44650915340026326,0.07598285310002817,0.39057302748618866,0.5032887535757908,0.1701708744857802,500,bootstrap,
modularity,0.15,0.44650915340026326,0.018995713275007046,0.425473722478269,0.47186311109050905,0.042542718621445055,5,leave_one_run_out,leave_one_run_out
global_efficiency,0.15,0.46820547977986227,0.02402535074323278,0.45228851399858383,0.48778395549174275,0.05131368978109538,500,bootstrap,
global_efficiency,0.15,0.4682054797798624,0.006006337685808198,0.4599063472122673,0.4764978463747385,0.01282842244527385,5,leave_one_run_out,leave_one_run_out
clustering,0.15,0.24990358645319594,0.010366591525414881,0.23994365351777208,0.256699970795524,0.04148236394901209,500,bootstrap,
clustering,0.15,0.24990358645319594,0.0025916478813537186,0.24707610861009405,0.25401097270087825,0.010370590987253016,5,leave_one_run_out,leave_one_run_out
modularity,0.2,0.4028783102595533,0.06759577729611944,0.3521371064829751,0.45361951403613154,0.16778212074154858,500,bootstrap,
modularity,0.2,0.4028783102595533,0.016898944324029854,0.3836224764594594,0.42302712247416036,0.04194553018538713,5,leave_one_run_out,leave_one_run_out
global_efficiency,0.2,0.5294294807369913,0.025576386002231267,0.5120704564488864,0.55186001675039,0.04830933473260256,500,bootstrap,
global_efficiency,0.2,0.5294294807369913,0.006394096500557845,0.5196783919597727,0.5364518425460382,0.012077333683150693,5,leave_one_run_out,leave_one_run_out
clustering,0.2,0.2386624640029577,0.013380141401324193,0.2263213486823578,0.24574748843674085,0.056063032187409136,500,bootstrap,
clustering,0.2,0.2386624640029577,0.003345035350331047,0.23618818683457352,0.24454727688550262,0.014015758046852279,5,leave_one_run_out,leave_one_run_out
